操作时间,操作类型,操作内容,关联对象,操作状态,备注
2025-11-09 17:34:41.912,人脸管理,录入新人脸,nick,成功,时间戳：1762680881
2025-11-09 17:34:50.470,文件管理,添加加密文件,共1个文件,成功,总加密文件数：1
2025-11-09 17:34:54.561,人脸管理,选择加密关联人脸,nick,成功,用于文件加密
2025-11-09 17:34:55.446,文件加密,加密单个文件,新建 Microsoft Excel 工作表.xlsx,成功,关联人脸：nick，算法：AES-GCM-256
2025-11-09 17:34:55.447,文件加密,批量加密文件,共1个文件,完成,成功1个，失败0个
2025-11-09 17:35:01.679,文件管理,添加解密文件,共1个文件,成功,总解密文件数：1
2025-11-09 17:35:07.290,文件解密,解密单个文件,新建 Microsoft Excel 工作表.xlsx.enc,成功,保存至：新建 Microsoft Excel 工作表_2.xlsx
2025-11-09 17:35:07.292,文件解密,批量解密文件,共1个文件,完成,成功1个，失败0个
2025-11-09 17:35:23.509,文件解密,人脸验证解密,共1个文件,失败,人脸验证未通过
2025-11-09 17:35:39.170,人脸管理,删除人脸数据,nick,成功,手动删除
2025-11-09 17:35:44.205,文件管理,清空加密列表,1个文件,成功,手动清空
2025-11-10 21:10:05.105,人脸管理,录入新人脸,oliver,成功,时间戳：1762780205
2025-11-10 21:11:13.743,人脸管理,选择加密关联人脸,oliver,成功,用于文件加密
2025-11-10 21:15:54.929,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test
2025-11-10 21:16:16.020,文件管理,清空加密列表,0个文件+1个文件夹,成功,手动清空
2025-11-10 21:16:23.304,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:30:12.947,人脸管理,删除人脸数据,oliver,成功,手动删除
2025-11-10 21:30:28.067,文件管理,清空加密列表,0个文件+1个文件夹,成功,手动清空
2025-11-10 21:34:47.028,人脸管理,录入新人脸,oliver,成功,时间戳：1762781687
2025-11-10 21:43:46.955,人脸管理,选择加密关联人脸,oliver,成功,用于文件加密
2025-11-10 21:48:55.414,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:53:31.146,文件管理,清空加密列表,0个文件+1个文件夹,成功,手动清空
2025-11-10 21:53:37.931,文件管理,添加加密文件,共4个文件,成功,总加密文件数：4
2025-11-10 21:53:47.382,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test
2025-11-10 21:54:00.851,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:54:12.881,文件夹加密,加密文件夹内文件,测试.docx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:12.927,文件夹加密,加密文件夹内文件,测试.pptx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:12.973,文件夹加密,加密文件夹内文件,测试.txt,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:13.023,文件夹加密,加密文件夹内文件,测试.xlsx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:13.024,文件夹加密,批量加密文件夹,test,完成,共4个文件，成功4个，失败0个
2025-11-10 21:54:44.268,文件加密,加密单个文件,测试.docx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:44.315,文件加密,加密单个文件,测试.pptx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:44.360,文件加密,加密单个文件,测试.txt,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:44.406,文件加密,加密单个文件,测试.xlsx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:54:44.407,文件加密,批量加密文件,共4个文件,完成,成功4个，失败0个
2025-11-10 21:55:31.993,文件管理,选择加密文件夹,test,成功,包含8个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:55:34.913,文件管理,清空加密列表,4个文件+1个文件夹,成功,手动清空
2025-11-10 21:56:13.164,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:57:09.684,文件管理,清空加密列表,0个文件+1个文件夹,成功,手动清空
2025-11-10 21:57:33.695,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:57:49.138,文件管理,清空加密列表,0个文件+1个文件夹,成功,手动清空
2025-11-10 21:58:07.288,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 21:59:13.045,文件夹加密,加密文件夹内文件,测试.docx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:59:13.093,文件夹加密,加密文件夹内文件,测试.pptx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:59:13.140,文件夹加密,加密文件夹内文件,测试.txt,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:59:13.187,文件夹加密,加密文件夹内文件,测试.xlsx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 21:59:13.188,文件夹加密,批量加密文件夹,test,完成,共4个文件，成功4个，失败0个
2025-11-10 22:02:33.598,密钥管理,生成特征密钥,oliver.feat,成功,关联人脸：oliver，有效期1天，过期时间2025-11-11 22:02:22
2025-11-10 22:10:02.682,文件管理,添加加密文件,共4个文件,成功,总加密文件数：4
2025-11-10 22:10:10.351,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 22:12:58.213,文件管理,移除加密文件夹,test,成功,
2025-11-10 22:13:05.211,文件管理,选择加密文件夹,test,成功,包含4个文件，保存至：C:/Users/12154/Desktop/test_result
2025-11-10 22:13:06.840,文件夹加密,加密文件夹内文件,测试.docx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 22:13:06.885,文件夹加密,加密文件夹内文件,测试.pptx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 22:13:06.931,文件夹加密,加密文件夹内文件,测试.txt,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 22:13:06.976,文件夹加密,加密文件夹内文件,测试.xlsx,成功,关联人脸：oliver，算法：AES-GCM-256
2025-11-10 22:13:06.977,文件夹加密,批量加密文件夹,test,完成,共4个文件，成功4个，失败0个
